id,titulo,autor,genero,anio_publicacion,editorial,idioma,paginas,disponible,cliente_prestamo,fecha_prestamo,fecha_limite
9089,Libro 9089,Autor 4564,No ficción,1984,Salamandra,Español,549,,,,
9090,Libro 9090,Autor 782,Terror,2017,Planeta,Español,220,,,,
9091,Libro 9091,Autor 662,Infantil,1958,Salamandra,Inglés,901,,,,
9092,Libro 9092,Autor 931,Ficción,1971,Alfaguara,Alemán,154,,,,
9093,Libro 9093,Autor 4093,Terror,2010,HarperCollins,Italiano,761,,,,
9094,Libro 9094,Autor 4669,No ficción,1974,Salamandra,Francés,284,,,,
9095,Libro 9095,Autor 2139,Historia,1990,Alfaguara,Francés,811,,,,
9096,Libro 9096,Autor 3187,Terror,1956,Salamandra,Inglés,386,,,,
9097,Libro 9097,Autor 541,Historia,2008,HarperCollins,Español,923,,,,
9098,Libro 9098,Autor 3604,Ciencia,2021,Salamandra,Italiano,122,,,,
9099,Libro 9099,Autor 646,Ficción,2016,Anagrama,Francés,746,,,,
9100,Libro 9100,Autor 1556,Infantil,1982,Salamandra,Francés,129,,,,
9101,Libro 9101,Autor 4762,Misterio,2014,Salamandra,Inglés,566,,,,
9102,Libro 9102,Autor 3141,Historia,2009,Planeta,Español,824,,,,
9103,Libro 9103,Autor 3407,Misterio,2007,Salamandra,Francés,568,,,,
9104,Libro 9104,Autor 619,Misterio,1993,Penguin,Italiano,634,,,,
9105,Libro 9105,Autor 1755,Historia,1997,Salamandra,Francés,868,,,,
9106,Libro 9106,Autor 1192,Misterio,1986,HarperCollins,Inglés,741,,,,
9107,Libro 9107,Autor 2797,Romance,1974,Penguin,Alemán,788,,,,
9108,Libro 9108,Autor 3245,Ciencia,1974,Alfaguara,Francés,471,,,,
9109,Libro 9109,Autor 1385,Historia,2006,Alfaguara,Inglés,998,,,,
9110,Libro 9110,Autor 4653,Ficción,1962,Penguin,Francés,858,,,,
9111,Libro 9111,Autor 131,Historia,1961,Anagrama,Español,874,,,,
9112,Libro 9112,Autor 1580,Terror,2012,Planeta,Inglés,390,,,,
9113,Libro 9113,Autor 946,Romance,2011,Alfaguara,Alemán,499,,,,
9114,Libro 9114,Autor 1819,Historia,1977,Penguin,Francés,685,,,,
9115,Libro 9115,Autor 1621,Infantil,2004,Penguin,Francés,273,,,,
9116,Libro 9116,Autor 3101,Ciencia,2024,Salamandra,Español,714,,,,
9117,Libro 9117,Autor 2451,Terror,1991,HarperCollins,Inglés,711,,,,
9118,Libro 9118,Autor 2632,Historia,2010,Penguin,Inglés,319,,,,
9119,Libro 9119,Autor 3550,No ficción,1987,Penguin,Francés,388,,,,
9120,Libro 9120,Autor 1090,Fantasía,1954,HarperCollins,Francés,866,,,,
9121,Libro 9121,Autor 251,No ficción,1997,HarperCollins,Alemán,234,,,,
9122,Libro 9122,Autor 4904,Misterio,1984,Alfaguara,Francés,153,,,,
9123,Libro 9123,Autor 4320,Ficción,1997,Salamandra,Inglés,894,,,,
9124,Libro 9124,Autor 89,Misterio,1963,Anagrama,Inglés,589,,,,
9125,Libro 9125,Autor 388,Historia,2003,Alfaguara,Alemán,546,,,,
9126,Libro 9126,Autor 1297,Ciencia,1975,Anagrama,Francés,148,,,,
9127,Libro 9127,Autor 164,No ficción,1992,Salamandra,Italiano,754,,,,
9128,Libro 9128,Autor 3748,Infantil,1991,Planeta,Español,621,,,,
9129,Libro 9129,Autor 3227,Terror,1967,HarperCollins,Italiano,363,,,,
9130,Libro 9130,Autor 2464,Ciencia,2004,Alfaguara,Inglés,827,,,,
9131,Libro 9131,Autor 583,Misterio,1999,Salamandra,Francés,696,,,,
9132,Libro 9132,Autor 4768,Terror,1970,HarperCollins,Alemán,226,,,,
9133,Libro 9133,Autor 1177,No ficción,1983,HarperCollins,Francés,667,,,,
9134,Libro 9134,Autor 1460,Infantil,1989,Anagrama,Alemán,678,,,,
9135,Libro 9135,Autor 551,Fantasía,1979,Penguin,Alemán,912,,,,
9136,Libro 9136,Autor 593,Fantasía,2019,Salamandra,Alemán,469,,,,
9137,Libro 9137,Autor 2302,Infantil,1974,Salamandra,Inglés,772,,,,
9138,Libro 9138,Autor 4352,Terror,2018,Penguin,Francés,295,,,,
9139,Libro 9139,Autor 1781,Historia,1978,Salamandra,Alemán,514,,,,
9140,Libro 9140,Autor 2934,Terror,2016,HarperCollins,Inglés,906,,,,
9141,Libro 9141,Autor 3408,Terror,2006,Alfaguara,Francés,726,,,,
9142,Libro 9142,Autor 4215,Historia,1996,Alfaguara,Francés,210,,,,
9143,Libro 9143,Autor 1599,Ciencia,1966,Salamandra,Inglés,296,,,,
9144,Libro 9144,Autor 870,No ficción,1998,Anagrama,Español,813,,,,
9145,Libro 9145,Autor 2065,Terror,1999,Planeta,Inglés,436,,,,
9146,Libro 9146,Autor 3567,No ficción,1954,Alfaguara,Inglés,436,,,,
9147,Libro 9147,Autor 3573,Misterio,1962,Salamandra,Italiano,161,,,,
9148,Libro 9148,Autor 2679,Fantasía,2012,Planeta,Alemán,244,,,,
9149,Libro 9149,Autor 3081,Fantasía,1988,HarperCollins,Alemán,737,,,,
9150,Libro 9150,Autor 1700,Historia,2017,Anagrama,Inglés,518,,,,
9151,Libro 9151,Autor 4963,Misterio,1994,Salamandra,Alemán,429,,,,
9152,Libro 9152,Autor 3027,Fantasía,1966,Anagrama,Inglés,524,,,,
9153,Libro 9153,Autor 4869,Historia,2008,HarperCollins,Inglés,251,,,,
9154,Libro 9154,Autor 591,Terror,2008,HarperCollins,Francés,962,,,,
9155,Libro 9155,Autor 508,Misterio,1957,Planeta,Español,842,,,,
9156,Libro 9156,Autor 3874,Ciencia,1979,Alfaguara,Francés,474,,,,
9157,Libro 9157,Autor 4732,Misterio,1952,Salamandra,Español,577,,,,
9158,Libro 9158,Autor 1416,Ficción,1966,Alfaguara,Inglés,307,,,,
9159,Libro 9159,Autor 2148,Fantasía,2000,Penguin,Inglés,398,,,,
9160,Libro 9160,Autor 2386,Misterio,1973,Planeta,Alemán,737,,,,
9161,Libro 9161,Autor 4880,Romance,2013,Anagrama,Alemán,374,,,,
9162,Libro 9162,Autor 1623,Terror,2023,Planeta,Francés,810,,,,
9163,Libro 9163,Autor 4090,Ciencia,2020,Salamandra,Inglés,324,,,,
9164,Libro 9164,Autor 699,No ficción,1998,Planeta,Francés,354,,,,
9165,Libro 9165,Autor 2671,Historia,1969,HarperCollins,Español,492,,,,
9166,Libro 9166,Autor 1779,Romance,1978,HarperCollins,Inglés,671,,,,
9167,Libro 9167,Autor 1132,Romance,1959,HarperCollins,Alemán,364,,,,
9168,Libro 9168,Autor 1788,Ciencia,1958,HarperCollins,Italiano,308,,,,
9169,Libro 9169,Autor 4751,Historia,2020,Salamandra,Inglés,683,,,,
9170,Libro 9170,Autor 4867,Ciencia,2012,HarperCollins,Francés,894,,,,
9171,Libro 9171,Autor 639,No ficción,1982,Planeta,Alemán,640,,,,
9172,Libro 9172,Autor 3,Historia,1973,HarperCollins,Español,314,,,,
9173,Libro 9173,Autor 3470,Misterio,1981,Salamandra,Español,216,,,,
9174,Libro 9174,Autor 1150,Fantasía,1953,Alfaguara,Español,276,,,,
9175,Libro 9175,Autor 4320,Ciencia,2011,Alfaguara,Alemán,504,,,,
9176,Libro 9176,Autor 3162,No ficción,1971,Penguin,Francés,982,,,,
9177,Libro 9177,Autor 3858,Terror,1972,Alfaguara,Inglés,720,,,,
9178,Libro 9178,Autor 2209,Ficción,1975,Penguin,Alemán,827,,,,
9179,Libro 9179,Autor 3892,Terror,1998,Salamandra,Italiano,742,,,,
9180,Libro 9180,Autor 1312,Ficción,1993,Alfaguara,Inglés,432,,,,
9181,Libro 9181,Autor 1377,Infantil,1971,Salamandra,Alemán,805,,,,
9182,Libro 9182,Autor 4142,Misterio,2016,Anagrama,Inglés,610,,,,
9183,Libro 9183,Autor 3372,Infantil,1991,Penguin,Francés,605,,,,
9184,Libro 9184,Autor 211,Ciencia,2001,Planeta,Italiano,245,,,,
9185,Libro 9185,Autor 2615,Ciencia,1966,HarperCollins,Inglés,457,,,,
9186,Libro 9186,Autor 1005,Ficción,1963,Penguin,Italiano,405,,,,
9187,Libro 9187,Autor 1712,Historia,2013,Alfaguara,Francés,775,,,,
9188,Libro 9188,Autor 534,No ficción,1994,Planeta,Inglés,483,,,,
9189,Libro 9189,Autor 590,Romance,2013,Alfaguara,Italiano,438,,,,
9190,Libro 9190,Autor 1952,Ciencia,1979,Planeta,Español,816,,,,
9191,Libro 9191,Autor 1267,Infantil,1962,Alfaguara,Inglés,456,,,,
9192,Libro 9192,Autor 3347,Infantil,1975,HarperCollins,Italiano,142,,,,
9193,Libro 9193,Autor 2987,Terror,1981,Anagrama,Francés,682,,,,
9194,Libro 9194,Autor 1684,Misterio,1995,Salamandra,Español,203,,,,
9195,Libro 9195,Autor 3509,Ficción,2000,Alfaguara,Francés,174,,,,
9196,Libro 9196,Autor 2457,Romance,1983,Alfaguara,Alemán,830,,,,
9197,Libro 9197,Autor 4090,Ficción,1977,Penguin,Alemán,852,,,,
9198,Libro 9198,Autor 3861,Ciencia,1968,HarperCollins,Francés,938,,,,
9199,Libro 9199,Autor 440,Fantasía,1997,Planeta,Italiano,288,,,,
9200,Libro 9200,Autor 1442,Romance,2021,Penguin,Alemán,817,,,,
9201,Libro 9201,Autor 640,Terror,1983,HarperCollins,Francés,474,,,,
9202,Libro 9202,Autor 110,Infantil,1965,HarperCollins,Inglés,486,,,,
9203,Libro 9203,Autor 4,Terror,2020,Penguin,Español,777,,,,
9204,Libro 9204,Autor 1078,Ciencia,1976,Salamandra,Alemán,925,,,,
9205,Libro 9205,Autor 2947,Fantasía,2000,Salamandra,Inglés,712,,,,
9206,Libro 9206,Autor 4003,Romance,2003,Planeta,Alemán,249,,,,
9207,Libro 9207,Autor 398,Ficción,1966,Anagrama,Español,879,,,,
9208,Libro 9208,Autor 1524,Romance,2021,Penguin,Inglés,368,,,,
9209,Libro 9209,Autor 551,Infantil,2017,Alfaguara,Alemán,266,,,,
9210,Libro 9210,Autor 1370,Ficción,1950,Salamandra,Español,448,,,,
9211,Libro 9211,Autor 995,Misterio,1963,Anagrama,Francés,750,,,,
9212,Libro 9212,Autor 4056,Ficción,1956,Planeta,Italiano,813,,,,
9213,Libro 9213,Autor 4219,No ficción,2013,Planeta,Italiano,287,,,,
9214,Libro 9214,Autor 4127,Fantasía,2021,Penguin,Francés,646,,,,
9215,Libro 9215,Autor 4402,No ficción,1957,Penguin,Alemán,305,,,,
9216,Libro 9216,Autor 266,Ficción,2003,Anagrama,Italiano,934,,,,
9217,Libro 9217,Autor 2176,Misterio,1973,Anagrama,Alemán,445,,,,
9218,Libro 9218,Autor 4307,Romance,2004,Alfaguara,Francés,681,,,,
9219,Libro 9219,Autor 3167,Romance,1950,Alfaguara,Alemán,659,,,,
9220,Libro 9220,Autor 3626,Romance,2021,Salamandra,Francés,998,,,,
9221,Libro 9221,Autor 3713,Misterio,2018,Alfaguara,Inglés,525,,,,
9222,Libro 9222,Autor 2401,Ciencia,1981,Anagrama,Italiano,247,,,,
9223,Libro 9223,Autor 3912,Ficción,1950,HarperCollins,Italiano,147,,,,
9224,Libro 9224,Autor 2224,No ficción,2015,Anagrama,Italiano,423,,,,
9225,Libro 9225,Autor 3661,Fantasía,1991,Alfaguara,Inglés,879,,,,
9226,Libro 9226,Autor 4729,Fantasía,1958,HarperCollins,Español,897,,,,
9227,Libro 9227,Autor 4918,Ficción,2023,Alfaguara,Italiano,516,,,,
9228,Libro 9228,Autor 3930,Ficción,1973,HarperCollins,Alemán,172,,,,
9229,Libro 9229,Autor 288,Terror,1968,Planeta,Italiano,620,,,,
9230,Libro 9230,Autor 298,No ficción,2000,Anagrama,Francés,817,,,,
9231,Libro 9231,Autor 4265,Infantil,1951,Planeta,Inglés,629,,,,
9232,Libro 9232,Autor 259,Historia,1959,Penguin,Español,121,,,,
9233,Libro 9233,Autor 2898,Infantil,2018,Planeta,Italiano,458,,,,
9234,Libro 9234,Autor 3661,Romance,1955,Planeta,Inglés,703,,,,
9235,Libro 9235,Autor 1175,Fantasía,2011,Penguin,Italiano,418,,,,
9236,Libro 9236,Autor 4110,Ficción,2015,Anagrama,Alemán,366,,,,
9237,Libro 9237,Autor 1178,Historia,1957,Alfaguara,Italiano,476,,,,
9238,Libro 9238,Autor 61,Ciencia,2017,Anagrama,Italiano,435,,,,
9239,Libro 9239,Autor 4346,Fantasía,2008,Alfaguara,Inglés,324,,,,
9240,Libro 9240,Autor 4786,Misterio,1999,Penguin,Alemán,590,,,,
9241,Libro 9241,Autor 4047,No ficción,1985,HarperCollins,Francés,161,,,,
9242,Libro 9242,Autor 1055,Infantil,1957,Penguin,Francés,543,,,,
9243,Libro 9243,Autor 1510,Ciencia,1966,Anagrama,Italiano,908,,,,
9244,Libro 9244,Autor 4979,Ficción,2008,HarperCollins,Inglés,466,,,,
9245,Libro 9245,Autor 379,Ciencia,1957,Salamandra,Inglés,229,,,,
9246,Libro 9246,Autor 4883,Terror,1992,Penguin,Inglés,259,,,,
9247,Libro 9247,Autor 4869,Misterio,2012,Anagrama,Italiano,169,,,,
9248,Libro 9248,Autor 3497,Misterio,1961,HarperCollins,Alemán,460,,,,
9249,Libro 9249,Autor 1159,Historia,2005,Anagrama,Alemán,567,,,,
9250,Libro 9250,Autor 2714,Romance,1998,Penguin,Italiano,877,,,,
9251,Libro 9251,Autor 1251,Fantasía,2001,Planeta,Inglés,811,,,,
9252,Libro 9252,Autor 950,Infantil,1960,Planeta,Francés,175,,,,
9253,Libro 9253,Autor 2056,Terror,1976,Penguin,Alemán,117,,,,
9254,Libro 9254,Autor 4365,Fantasía,2011,Salamandra,Italiano,797,,,,
9255,Libro 9255,Autor 1598,Fantasía,1958,Alfaguara,Alemán,905,,,,
9256,Libro 9256,Autor 4940,Historia,1985,Anagrama,Inglés,660,,,,
9257,Libro 9257,Autor 3050,Misterio,1995,Salamandra,Italiano,658,,,,
9258,Libro 9258,Autor 3502,No ficción,1978,Penguin,Español,427,,,,
9259,Libro 9259,Autor 1622,Ciencia,2017,Planeta,Francés,705,,,,
9260,Libro 9260,Autor 4718,Ficción,1990,Anagrama,Francés,289,,,,
9261,Libro 9261,Autor 4306,No ficción,1977,Salamandra,Francés,510,,,,
9262,Libro 9262,Autor 1853,No ficción,2013,Alfaguara,Italiano,695,,,,
9263,Libro 9263,Autor 2565,Romance,1973,Planeta,Español,726,,,,
9264,Libro 9264,Autor 2025,Romance,1965,HarperCollins,Español,233,,,,
9265,Libro 9265,Autor 1804,No ficción,1971,Alfaguara,Inglés,590,,,,
9266,Libro 9266,Autor 1011,Misterio,1996,Anagrama,Español,191,,,,
9267,Libro 9267,Autor 3134,Fantasía,1966,Salamandra,Español,723,,,,
9268,Libro 9268,Autor 2660,Ciencia,1950,Planeta,Español,644,,,,
9269,Libro 9269,Autor 2100,Fantasía,1980,Anagrama,Inglés,477,,,,
9270,Libro 9270,Autor 4292,Fantasía,1961,Planeta,Italiano,137,,,,
9271,Libro 9271,Autor 2709,Fantasía,1969,Planeta,Italiano,565,,,,
9272,Libro 9272,Autor 1717,Ciencia,1968,HarperCollins,Italiano,448,,,,
9273,Libro 9273,Autor 2897,Ciencia,1954,HarperCollins,Alemán,600,,,,
9274,Libro 9274,Autor 1596,Historia,1964,Planeta,Inglés,141,,,,
9275,Libro 9275,Autor 412,Infantil,1974,HarperCollins,Italiano,591,,,,
9276,Libro 9276,Autor 1169,No ficción,1984,HarperCollins,Italiano,869,,,,
9277,Libro 9277,Autor 1569,Historia,2004,Salamandra,Italiano,330,,,,
9278,Libro 9278,Autor 2620,Historia,2012,Alfaguara,Español,847,,,,
9279,Libro 9279,Autor 757,Ficción,1996,Salamandra,Francés,509,,,,
9280,Libro 9280,Autor 2374,Romance,2016,HarperCollins,Francés,978,,,,
9281,Libro 9281,Autor 4573,Ficción,2013,Alfaguara,Francés,614,,,,
9282,Libro 9282,Autor 1547,Romance,1971,Penguin,Italiano,415,,,,
9283,Libro 9283,Autor 3255,Infantil,2018,Alfaguara,Español,693,,,,
9284,Libro 9284,Autor 1265,Terror,2023,Alfaguara,Inglés,300,,,,
9285,Libro 9285,Autor 2978,Romance,1951,Salamandra,Inglés,535,,,,
9286,Libro 9286,Autor 3856,Fantasía,1974,Planeta,Francés,778,,,,
9287,Libro 9287,Autor 1567,Romance,2010,Penguin,Italiano,694,,,,
9288,Libro 9288,Autor 3764,Ciencia,1954,Penguin,Inglés,386,,,,
9289,Libro 9289,Autor 1184,Infantil,1977,Anagrama,Alemán,170,,,,
9290,Libro 9290,Autor 4512,Historia,2015,Penguin,Inglés,100,,,,
9291,Libro 9291,Autor 1923,Fantasía,1964,Anagrama,Italiano,957,,,,
9292,Libro 9292,Autor 1267,Terror,2004,Anagrama,Inglés,410,,,,
9293,Libro 9293,Autor 1384,Infantil,1987,Alfaguara,Italiano,831,,,,
9294,Libro 9294,Autor 4373,Historia,1972,Alfaguara,Español,595,,,,
9295,Libro 9295,Autor 3058,Misterio,1963,Planeta,Inglés,570,,,,
9296,Libro 9296,Autor 2848,Infantil,1981,Planeta,Inglés,103,,,,
9297,Libro 9297,Autor 2006,Terror,1993,HarperCollins,Francés,772,,,,
9298,Libro 9298,Autor 920,Historia,2019,Anagrama,Italiano,157,,,,
9299,Libro 9299,Autor 498,Ciencia,2007,HarperCollins,Español,166,,,,
9300,Libro 9300,Autor 4957,Romance,1953,Planeta,Español,322,,,,
9301,Libro 9301,Autor 4904,Ficción,2011,Salamandra,Francés,263,,,,
9302,Libro 9302,Autor 2177,Terror,2009,Penguin,Italiano,738,,,,
9303,Libro 9303,Autor 672,Ficción,2024,HarperCollins,Francés,217,,,,
9304,Libro 9304,Autor 3624,No ficción,2008,Planeta,Francés,882,,,,
9305,Libro 9305,Autor 1100,Romance,2024,Alfaguara,Italiano,605,,,,
9306,Libro 9306,Autor 2205,Terror,1978,Anagrama,Francés,786,,,,
9307,Libro 9307,Autor 2773,Infantil,1968,HarperCollins,Inglés,430,,,,
9308,Libro 9308,Autor 1838,Ciencia,1966,Planeta,Italiano,345,,,,
9309,Libro 9309,Autor 2064,Infantil,1953,HarperCollins,Alemán,766,,,,
9310,Libro 9310,Autor 270,Misterio,1993,HarperCollins,Italiano,312,,,,
9311,Libro 9311,Autor 3390,No ficción,1953,Planeta,Español,555,,,,
9312,Libro 9312,Autor 565,Ciencia,2008,Planeta,Inglés,675,,,,
9313,Libro 9313,Autor 1771,Fantasía,1961,Anagrama,Inglés,149,,,,
9314,Libro 9314,Autor 2264,Historia,1996,HarperCollins,Alemán,906,,,,
9315,Libro 9315,Autor 965,No ficción,1956,Penguin,Inglés,476,,,,
9316,Libro 9316,Autor 4664,Historia,1961,HarperCollins,Inglés,692,,,,
9317,Libro 9317,Autor 1637,Romance,2020,Alfaguara,Inglés,781,,,,
9318,Libro 9318,Autor 1742,Fantasía,2003,Planeta,Alemán,820,,,,
9319,Libro 9319,Autor 609,Fantasía,2007,Alfaguara,Alemán,635,,,,
9320,Libro 9320,Autor 3962,Ciencia,2012,Salamandra,Alemán,863,,,,
9321,Libro 9321,Autor 1130,Romance,1964,Salamandra,Inglés,141,,,,
9322,Libro 9322,Autor 146,Misterio,1986,Alfaguara,Italiano,486,,,,
9323,Libro 9323,Autor 2709,No ficción,2005,HarperCollins,Italiano,354,,,,
9324,Libro 9324,Autor 3921,No ficción,2022,HarperCollins,Español,298,,,,
9325,Libro 9325,Autor 3715,Terror,1980,HarperCollins,Italiano,584,,,,
9326,Libro 9326,Autor 1590,Infantil,1964,HarperCollins,Francés,285,,,,
9327,Libro 9327,Autor 1986,Terror,1951,Anagrama,Italiano,912,,,,
9328,Libro 9328,Autor 4047,Misterio,1962,Alfaguara,Alemán,452,,,,
9329,Libro 9329,Autor 729,Fantasía,1954,Penguin,Francés,677,,,,
9330,Libro 9330,Autor 790,Ficción,1997,Anagrama,Inglés,415,,,,
9331,Libro 9331,Autor 96,Misterio,1982,Alfaguara,Alemán,918,,,,
9332,Libro 9332,Autor 357,Misterio,1981,Planeta,Italiano,256,,,,
9333,Libro 9333,Autor 2266,Ciencia,2002,HarperCollins,Inglés,169,,,,
9334,Libro 9334,Autor 4224,Ciencia,1970,Salamandra,Español,268,,,,
9335,Libro 9335,Autor 1066,Ciencia,2015,HarperCollins,Alemán,619,,,,
9336,Libro 9336,Autor 2187,Ciencia,2010,HarperCollins,Francés,321,,,,
9337,Libro 9337,Autor 1911,Infantil,2003,Alfaguara,Alemán,975,,,,
9338,Libro 9338,Autor 1265,No ficción,2024,Salamandra,Francés,989,,,,
9339,Libro 9339,Autor 4333,No ficción,1990,Planeta,Francés,541,,,,
9340,Libro 9340,Autor 1645,Ciencia,1987,Planeta,Español,241,,,,
9341,Libro 9341,Autor 3526,Infantil,1982,Anagrama,Francés,544,,,,
9342,Libro 9342,Autor 2950,Ciencia,1957,Anagrama,Inglés,760,,,,
9343,Libro 9343,Autor 1975,Infantil,1985,Alfaguara,Francés,564,,,,
9344,Libro 9344,Autor 933,Terror,1982,Anagrama,Francés,602,,,,
9345,Libro 9345,Autor 1460,Historia,1978,Anagrama,Francés,121,,,,
9346,Libro 9346,Autor 4591,Infantil,2006,HarperCollins,Alemán,856,,,,
9347,Libro 9347,Autor 2969,Terror,2021,Anagrama,Francés,402,,,,
9348,Libro 9348,Autor 4756,Romance,2010,Anagrama,Alemán,760,,,,
9349,Libro 9349,Autor 2196,Romance,2004,Anagrama,Alemán,129,,,,
9350,Libro 9350,Autor 3611,Terror,2001,Alfaguara,Italiano,577,,,,
9351,Libro 9351,Autor 3126,Fantasía,1992,Anagrama,Español,667,,,,
9352,Libro 9352,Autor 2168,Fantasía,1975,Penguin,Español,420,,,,
9353,Libro 9353,Autor 3349,Ciencia,1951,Penguin,Español,602,,,,
9354,Libro 9354,Autor 1027,Fantasía,2004,Anagrama,Francés,459,,,,
9355,Libro 9355,Autor 2630,Romance,1967,Penguin,Italiano,242,,,,
9356,Libro 9356,Autor 1218,Fantasía,1999,HarperCollins,Italiano,513,,,,
9357,Libro 9357,Autor 4528,Historia,1994,Alfaguara,Español,652,,,,
9358,Libro 9358,Autor 3097,Romance,1964,Anagrama,Español,465,,,,
9359,Libro 9359,Autor 2321,Infantil,1956,Penguin,Español,251,,,,
9360,Libro 9360,Autor 1173,Misterio,1976,Salamandra,Alemán,201,,,,
9361,Libro 9361,Autor 3999,Fantasía,1989,Salamandra,Alemán,249,,,,
9362,Libro 9362,Autor 2023,Fantasía,1966,HarperCollins,Francés,422,,,,
9363,Libro 9363,Autor 648,No ficción,1981,HarperCollins,Inglés,889,,,,
9364,Libro 9364,Autor 3636,Historia,1965,Anagrama,Alemán,317,,,,
9365,Libro 9365,Autor 1034,Romance,2012,Salamandra,Italiano,769,,,,
9366,Libro 9366,Autor 4875,Romance,2009,HarperCollins,Alemán,822,,,,
9367,Libro 9367,Autor 2037,Ficción,2001,HarperCollins,Italiano,961,,,,
9368,Libro 9368,Autor 41,No ficción,1998,Anagrama,Italiano,310,,,,
9369,Libro 9369,Autor 3572,Fantasía,1998,Penguin,Alemán,913,,,,
9370,Libro 9370,Autor 759,Terror,1975,Planeta,Alemán,219,,,,
9371,Libro 9371,Autor 2366,Infantil,2000,Alfaguara,Español,567,,,,
9372,Libro 9372,Autor 3294,Fantasía,1992,Anagrama,Italiano,117,,,,
9373,Libro 9373,Autor 2353,Ficción,2019,Salamandra,Francés,952,,,,
9374,Libro 9374,Autor 1223,Misterio,2020,Penguin,Inglés,796,,,,
9375,Libro 9375,Autor 2558,Romance,1958,HarperCollins,Alemán,833,,,,
9376,Libro 9376,Autor 1052,Infantil,1993,Planeta,Español,134,,,,
9377,Libro 9377,Autor 1743,No ficción,2013,HarperCollins,Inglés,450,,,,
9378,Libro 9378,Autor 3777,Fantasía,1951,Planeta,Francés,896,,,,
9379,Libro 9379,Autor 4104,Historia,1985,Planeta,Alemán,894,,,,
9380,Libro 9380,Autor 1955,Terror,1952,Penguin,Español,541,,,,
9381,Libro 9381,Autor 3483,Ficción,2003,Anagrama,Español,677,,,,
9382,Libro 9382,Autor 3759,Misterio,1970,Penguin,Alemán,345,,,,
9383,Libro 9383,Autor 1361,Ciencia,2016,Anagrama,Italiano,732,,,,
9384,Libro 9384,Autor 4869,Terror,1958,Penguin,Alemán,584,,,,
9385,Libro 9385,Autor 4169,Fantasía,1961,Planeta,Español,678,,,,
9386,Libro 9386,Autor 4813,Misterio,2021,Penguin,Francés,358,,,,
9387,Libro 9387,Autor 980,Terror,1986,Alfaguara,Francés,365,,,,
9388,Libro 9388,Autor 4130,Terror,1986,Salamandra,Francés,683,,,,
9389,Libro 9389,Autor 2136,Romance,2016,Anagrama,Español,455,,,,
9390,Libro 9390,Autor 780,Terror,2005,Anagrama,Alemán,456,,,,
9391,Libro 9391,Autor 2218,Historia,2012,Penguin,Alemán,290,,,,
9392,Libro 9392,Autor 3675,Misterio,1975,Planeta,Alemán,763,,,,
9393,Libro 9393,Autor 2054,Fantasía,1995,Planeta,Italiano,672,,,,
9394,Libro 9394,Autor 708,Fantasía,2002,HarperCollins,Italiano,638,,,,
9395,Libro 9395,Autor 2924,Historia,2009,Penguin,Alemán,431,,,,
9396,Libro 9396,Autor 3029,No ficción,1981,HarperCollins,Italiano,730,,,,
9397,Libro 9397,Autor 1537,Misterio,2011,Planeta,Italiano,881,,,,
9398,Libro 9398,Autor 2571,Terror,1996,HarperCollins,Alemán,559,,,,
9399,Libro 9399,Autor 2296,Ficción,2010,Anagrama,Alemán,584,,,,
9400,Libro 9400,Autor 328,Infantil,1953,Anagrama,Español,856,,,,
9401,Libro 9401,Autor 123,Misterio,1951,Alfaguara,Alemán,436,,,,
9402,Libro 9402,Autor 1531,Ciencia,1972,Anagrama,Alemán,311,,,,
9403,Libro 9403,Autor 3166,Ficción,2004,Alfaguara,Alemán,182,,,,
9404,Libro 9404,Autor 3929,Historia,1990,Planeta,Alemán,934,,,,
9405,Libro 9405,Autor 1087,Terror,2017,Alfaguara,Inglés,467,,,,
9406,Libro 9406,Autor 2359,No ficción,1986,Penguin,Inglés,518,,,,
9407,Libro 9407,Autor 2944,Ciencia,1960,Penguin,Francés,914,,,,
9408,Libro 9408,Autor 3788,No ficción,1985,Anagrama,Alemán,362,,,,
9409,Libro 9409,Autor 4357,No ficción,1964,Alfaguara,Italiano,304,,,,
9410,Libro 9410,Autor 2816,Romance,2016,Penguin,Inglés,566,,,,
9411,Libro 9411,Autor 2842,Ciencia,1979,Alfaguara,Inglés,282,,,,
9412,Libro 9412,Autor 608,Infantil,2006,Planeta,Español,351,,,,
9413,Libro 9413,Autor 4477,Romance,2011,HarperCollins,Italiano,168,,,,
9414,Libro 9414,Autor 2983,Ciencia,1982,Penguin,Italiano,119,,,,
9415,Libro 9415,Autor 1665,No ficción,2014,Alfaguara,Inglés,614,,,,
9416,Libro 9416,Autor 872,Romance,1950,Penguin,Español,298,,,,
9417,Libro 9417,Autor 2221,Ciencia,1952,Penguin,Francés,228,,,,
9418,Libro 9418,Autor 1003,Infantil,1958,Planeta,Alemán,633,,,,
9419,Libro 9419,Autor 1100,Ficción,1981,Penguin,Italiano,960,,,,
9420,Libro 9420,Autor 1121,Misterio,1994,HarperCollins,Alemán,436,,,,
9421,Libro 9421,Autor 2607,Terror,2006,Penguin,Alemán,775,,,,
9422,Libro 9422,Autor 1249,Ciencia,1970,Planeta,Alemán,602,,,,
9423,Libro 9423,Autor 632,Infantil,1972,Anagrama,Francés,346,,,,
9424,Libro 9424,Autor 1647,Misterio,1975,Salamandra,Alemán,754,,,,
9425,Libro 9425,Autor 2230,Romance,2021,Planeta,Francés,945,,,,
9426,Libro 9426,Autor 2058,Ciencia,1979,Planeta,Inglés,913,,,,
